Name,BSE Code,NSE Code,ISIN Code,Sector,Industry Group,Industry
Jayabharat Cred.,501311,,INE998D01011,Financial Services,Finance,Non Banking Financial Company (NBFC)
Jayant Agro Org.,524330,JAYAGROGN,INE785A01026,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Jayant Infratech,543544,,INE0KR801019,Construction & Infrastructure,Construction,Civil Construction
Jayaswal Neco,522285,JAYNECOIND,INE854B01010,Industrials,Industrial Products,Iron & Steel Products
Jayatma Industri,531323,,INE250D01017,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Jayesh Logistics,,JAYESH,INE1AE401014,Industrials,Transport Services,Logistics Solution Provider
Jaykay Enter.,500306,JAYKAY,INE903A01025,Industrials,Aerospace & Defense,Aerospace & Defense
Jayshree Chem.,506520,,INE693E01016,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Jaysynth Orgo,524592,,INE263B01022,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
JBM Auto,532605,JBMA,INE927D01051,Automobile,Auto Components,Auto Components & Equipments
JD Cables,544524,,INE14VP01014,Industrials,Industrial Products,Cables - Electricals
Jeena Sikho,544476,JSLL,INE0J5801029,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Jeevan Scienti.,538837,,INE237B01018,Healthcare / Pharma,Healthcare Services,"Healthcare Research, Analytics & Technology"
Jenburkt Pharma,524731,,INE354A01013,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Jet Freight,543420,JETFREIGHT,INE982V01025,Industrials,Transport Services,Logistics Solution Provider
Jet Solar,538794,,INE155R01018,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Jetking Infotrai,517063,,INE919C01019,Consumer Durables & Retail,Other Consumer Services,E-Learning
Jetmall Spices,543286,,INE0D9X01018,FMCG / Consumer Staples,Food Products,Other Food Products
Jeyyam Global,,JEYYAM,INE0RXB01022,FMCG / Consumer Staples,Food Products,Other Food Products
JFL Life,,JFLLIFE,INE0LA901015,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Jhandewala Foods,540850,,INE841Y01019,FMCG / Consumer Staples,Food Products,Packaged Foods
Jhaveri Credits,531550,,INE865D01012,Financial Services,Finance,Other Financial Services
JHS Sven.Lab.,532771,JHS,INE544H01014,FMCG (Consumer Staples),Personal Products,Personal Care
JHS Svend.Retail,544197,RETAIL,INE03DD01011,Consumer Durables & Retail,Retailing,Diversified Retail
Jigar Cables,540651,,INE943X01015,Industrials,Electrical Equipment,Other Electrical Equipment
Jindal Capital,530405,,INE356F01017,Financial Services,Finance,Other Financial Services
Jindal Drilling,511034,JINDRILL,INE742C01031,Energy (Oil & Gas),Oil,Offshore Support Solution Drilling
Jindal Hotels,507981,,INE726D01016,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Jindal Leasefin,539947,,INE919T01013,Financial Services,Finance,Investment Company
Jindal Photo,532624,JINDALPHOT,INE796G01012,Financial Services,Finance,Investment Company
Jindal Poly Film,500227,JINDALPOLY,INE197D01010,Industrials,Industrial Products,Packaging
Jindal Poly Inve,536773,JPOLYINVST,INE147P01019,Financial Services,Finance,Investment Company
Jindal Saw,500378,JINDALSAW,INE324A01032,Industrials,Industrial Products,Iron & Steel Products
Jindal Stain.,532508,JSL,INE220G01021,Metals & Mining,Ferrous Metals,Iron & Steel
Jindal Steel,532286,JINDALSTEL,INE749A01030,Metals & Mining,Ferrous Metals,Iron & Steel
Jindal Worldwide,531543,JINDWORLD,INE247D01039,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Jinkushal Indus.,544547,JKIPL,INE1FF001016,Automobile,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
Jio Financial,543940,JIOFIN,INE758E01017,Financial Services,Finance,Investment Company
JITF Infra Logis,540311,JITFINFRA,INE863T01013,Power & Utilities,Other Utilities,Water Supply & Management
Jiwanram Sheo,,JIWANRAM,INE0N5H01017,Industrials,Industrial Products,Other Industrial Products
JK Agri Genetics,536493,,INE690O01011,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
JK Lakshmi Cem.,500380,JKLAKSHMI,INE786A01032,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
JK Paper,532162,JKPAPER,INE789E01012,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
JK Tyre & Indust,530007,JKTYRE,INE573A01042,Automobile,Auto Components,Tyres & Rubber Products
JM Financial,523405,JMFINANCIL,INE780C01023,Financial Services,Finance,Holding Company
JMD Ventures,511092,,INE047E01031,Media & Entertainment,Entertainment,"Film Production, Distribution & Exhibition"
JMG Corporation,523712,,INE745F01011,Industrials,Industrial Products,Plastic Products - Industrial
JMJ Fintech,538834,,INE242Q01016,Financial Services,Finance,Non Banking Financial Company (NBFC)
JNK,544167,JNKINDIA,INE0OAF01028,Industrials,Industrial Manufacturing,Industrial Products
Jocil,,JOCIL,INE839G01010,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
John Cockerill,500147,,INE515A01019,Industrials,Industrial Manufacturing,Industrial Products
Johnson Pharma,532154,,INE560F01022,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Joindre Capital,531861,,INE024B01010,Financial Services,Capital Markets,Stockbroking & Allied
Jointeca Educati,534659,,INE131N01018,Information Technology,IT - Software,Computers - Software & Consulting
Jolly Plastic,507968,,INE289M01016,Financial Services,Finance,Investment Company
Jonjua Overseas,542446,,INE793Z01027,Industrials,Commercial Services & Supplies,Consulting Services
Josts Engg. Co.,505750,,INE636D01041,Industrials,Industrial Manufacturing,Industrial Products
JP Associates,532532,JPASSOCIAT,INE455F01025,Construction & Infrastructure,Construction,Civil Construction
JP Power Ven.,532627,JPPOWER,INE351F01018,Power & Utilities,Power,Power Generation
JSL Industries,504080,,INE581L01018,Industrials,Electrical Equipment,Other Electrical Equipment
JSW Cement,544480,JSWCEMENT,INE718I01012,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
JSW Energy,533148,JSWENERGY,INE121E01018,Power & Utilities,Power,Power Generation
JSW Holdings,532642,JSWHL,INE824G01012,Financial Services,Finance,Investment Company
JSW Infrast,543994,JSWINFRA,INE880J01026,Construction & Infrastructure,Transport Infrastructure,Port & Port services
JSW Steel,500228,JSWSTEEL,INE019A01038,Metals & Mining,Ferrous Metals,Iron & Steel
JTEKT India,520057,JTEKTINDIA,INE643A01035,Automobile,Auto Components,Auto Components & Equipments
JTL Industries,534600,JTLIND,INE391J01032,Industrials,Industrial Products,Iron & Steel Products
Jubilant Agri,544355,JUBLCPL,INE03CC01015,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Jubilant Food.,533155,JUBLFOOD,INE797F01020,Consumer Durables & Retail,Leisure Services,Restaurants
Jubilant Ingrev.,543271,JUBLINGREA,INE0BY001018,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Jubilant Pharmo,530019,JUBLPHARMA,INE700A01033,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Julien Agro,536073,,INE890N01027,Construction & Infrastructure,Construction,Civil Construction
Jullundur Motor,,JMA,INE412C01023,Automobile,Auto Components,Trading - Auto components
Jumbo Bag,516078,,INE699D01015,Industrials,Industrial Products,Packaging
Jungle Camps,544304,,INE0WCH01015,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Juniper Hotels,544129,JUNIPER,INE696F01016,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Jupiter Info.,534623,,INE524N01014,Consumer Durables & Retail,Retailing,Internet & Catalogue Retail
Jupiter Life Lin,543980,JLHL,INE682M01012,Healthcare / Pharma,Healthcare Services,Hospital
Jupiter Wagons,533272,JWL,INE209L01016,Industrials,Industrial Manufacturing,Railway Wagons
Just Dial,535648,JUSTDIAL,INE599M01018,Consumer Durables & Retail,Retailing,Internet & Catalogue Retail
Justo Realfin,544542,,INE0W5Q01017,Construction & Infrastructure,Realty,Real Estate related services
Jyothy Labs,532926,JYOTHYLAB,INE668F01031,FMCG (Consumer Staples),Household Products,Household Products
Jyoti,504076,,INE511D01012,Industrials,Electrical Equipment,Heavy Electrical Equipment
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrials,Industrial Manufacturing,Industrial Products
Jyoti Global,,JYOTIGLOBL,INE1M3T01017,Industrials,Industrial Products,Packaging
Jyoti Resins,514448,,INE577D01013,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Jyoti Structures,513250,JYOTISTRUC,INE197A01024,Industrials,Electrical Equipment,Heavy Electrical Equipment
Jyotirgamya Ent.,539246,,INE805R01018,Industrials,Commercial Services & Supplies,Trading & Distributors
K C P,590066,KCP,INE805C01028,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
K G Denim,500239,,INE104A01012,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
K K Silk Mills,544624,,INE0EOJ01014,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
K P R Mill Ltd,532889,KPRMILL,INE930H01031,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
K Z Leasing,511728,,INE006C01015,Financial Services,Finance,Non Banking Financial Company (NBFC)
K-Lifestyle,514221,,INE218A01028,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
K. V. Toys India,544641,,INE1IE301018,Consumer Durables & Retail,Consumer Durables,Leisure Products
K.P. Energy,539686,KPEL,INE127T01021,Power & Utilities,Power,Power Generation
K&R Rail Engine.,514360,,INE078T01026,Construction & Infrastructure,Construction,Civil Construction
K2 Infragen,,K2INFRA,INE0DEZ01013,Construction & Infrastructure,Construction,Civil Construction
Kabra Drugs,524322,,INE323K01017,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kabra Extrusion,524109,KABRAEXTRU,INE900B01029,Industrials,Industrial Manufacturing,Industrial Products
Kabra Jewels,,KKJEWELS,INE0XOW01017,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Kabsons Industri,524675,,INE645C01010,Industrials,Commercial Services & Supplies,Trading & Distributors
Kachchh Minerals,531778,,INE059E01010,Metals & Mining,Minerals & Mining,Industrial Minerals
Kahan Packaging,543979,,INE04T901017,Industrials,Industrial Products,Packaging
Kaira Can,504840,,INE375D01012,Industrials,Industrial Products,Packaging
Kairosoft AI,506122,,INE820M01018,Automobile,Auto Components,Auto Components & Equipments
Kaiser Corporat.,531780,,INE229G01022,Industrials,Commercial Services & Supplies,Trading & Distributors
Kaizen Agro,538833,,INE891N01017,Construction & Infrastructure,Construction,Civil Construction
Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables & Retail,Consumer Durables,Ceramics
Kaka Industries,543939,,INE0P3N01018,Industrials,Industrial Products,Plastic Products - Industrial
Kakatiya Cement,500234,KAKATCEM,INE437B01014,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
Kakatiya Textile,521054,,INE092E01011,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Kalana Ispat,,KALANA,INE0T0L01014,Industrials,Industrial Products,Iron & Steel Products
Kallam Textiles,530201,,INE629F01025,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Kalpa Commer.,539014,,INE059Q01014,Industrials,Commercial Services & Supplies,Trading & Distributors
Kalpat.,544423,KALPATARU,INE227J01012,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Kalpataru Proj.,522287,KPIL,INE220B01022,Construction & Infrastructure,Construction,Civil Construction
Kalyan Capitals,538778,,INE149Q01021,Financial Services,Finance,Non Banking Financial Company (NBFC)
Kalyan Jewellers,543278,KALYANKJIL,INE303R01014,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Kalyani Cast-Tec,544023,,INE0N6U01018,Industrials,Industrial Manufacturing,Industrial Products
Kalyani Forge,513509,KALYANIFRG,INE314G01014,Industrials,Industrial Products,Castings & Forgings
Kalyani Invest.,533302,KICL,INE029L01018,Financial Services,Finance,Investment Company
Kalyani Steels,500235,KSL,INE907A01026,Industrials,Industrial Products,Iron & Steel Products
Kama Holdings,532468,,INE411F01010,Financial Services,Finance,Holding Company
Kamadgiri Fash.,514322,,INE535C01013,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Kamanwala Housin,511131,,INE344D01018,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Kamat Hotels,526668,KAMATHOTEL,INE967C01018,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Kamdhenu,532741,KAMDHENU,INE390H01020,Industrials,Industrial Products,Iron & Steel Products
Kamdhenu Venture,543747,KAMOPAINTS,INE0BTI01037,Consumer Durables & Retail,Consumer Durables,Paints
Kanani Industrie,506184,KANANIIND,INE879E01037,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Kanchi Karpooram,538896,,INE081G01019,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Kanco Tea,541005,,INE398L01017,FMCG (Consumer Staples),Agricultural Food & other Products,Tea & Coffee
Kandagiri Spinng,521242,,INE292D01019,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Kandarp Digi,,KANDARP,INE0MOT01016,Industrials,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Kanel Indust.,500236,,INE252C01023,Industrials,Commercial Services & Supplies,Trading & Distributors
Kanishk Alumin.,544693,,INE163401016,Metals & Mining,Non - Ferrous Metals,Aluminium
Kanishk Steel,513456,,INE791E01018,Industrials,Industrial Products,Iron & Steel Products
Kanoria Chem.,506525,KANORICHEM,INE138C01024,Industrials,Industrial Manufacturing,Industrial Products
Kanoria Energy,539620,,INE534E01020,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
Kanpur Plastipa.,507779,KANPRPLA,INE694E01014,Industrials,Industrial Products,Packaging
Kansai Nerolac,500165,KANSAINER,INE531A01024,Consumer Durables & Retail,Consumer Durables,Paints
Kanungo Financi.,540515,,INE453S01015,Financial Services,Finance,Other Financial Services
Kapil Raj Financ,539679,,INE332Q01023,Financial Services,Finance,Non Banking Financial Company (NBFC)
Kapston Services,,KAPSTON,INE542Z01028,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Karbonsteel Eng.,544511,,INE0V8A01016,Construction & Infrastructure,Construction,Civil Construction
Karma Energy Ltd,533451,KARMAENG,INE725L01011,Power & Utilities,Power,Power Generation
Karnataka Bank,532652,KTKBANK,INE614B01018,Financial Services,Banks,Private Sector Bank
Karnavati Financ,538928,,INE554R01020,Financial Services,Finance,Non Banking Financial Company (NBFC)
Karnawati Innovation,531671,,INE214D01021,Industrials,Industrial Products,Packaging
Karnika Industri,,KARNIKA,INE0MGA01012,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Kartik Invest.,501151,,INE524U01019,Financial Services,Finance,Other Financial Services
Karur Vysya Bank,590003,KARURVYSYA,INE036D01028,Financial Services,Banks,Private Sector Bank
Kashyap TeleMed.,531960,,INE108B01029,Information Technology,IT - Services,IT Enabled Services
Kasturi Metal,544688,,INE0T1301023,Industrials,Industrial Products,Iron & Steel Products
Katare Spinning,502933,,INE498G01015,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Kataria Indust.,,KATARIA,INE0SVY01018,Industrials,Industrial Manufacturing,Industrial Products
Kati patang Life,531126,,INE237C01016,FMCG (Consumer Staples),Beverages,Breweries & Distilleries
Kaushalya,,KLL,INE0Q2V01012,Consumer Durables & Retail,Retailing,E-Retail/ E-Commerce
Kaushalya Infra.,532925,KAUSHALYA,INE234I01028,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Kaveri Seed Co.,532899,KSCL,INE455I01029,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Kavveri Defence,590041,KAVDEFENCE,INE641C01019,Telecom,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Kay Cee,,KCEIL,INE0RCG01017,Construction & Infrastructure,Construction,Civil Construction
Kay Power &Paper,530255,,INE961B01013,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Kaya Ltd,539276,KAYA,INE587G01015,Consumer Durables & Retail,Leisure Services,Wellness
Kaycee Inds.,504084,,INE813G01023,Industrials,Electrical Equipment,Other Electrical Equipment
Kaynes Tech,543664,KAYNES,INE918Z01012,Industrials,Industrial Manufacturing,Industrial Products
Kaytex Fabrics,,KAYTEX,INE13ZD01013,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
KBS India,530357,,INE883D01023,Financial Services,Finance,Other Financial Services
KCD Industries,540696,,INE185U01035,Industrials,Commercial Services & Supplies,Trading & Distributors
KCK Industries,,KCK,INE0J1E01027,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
KCL Infra,531784,,INE469F01026,Construction & Infrastructure,Construction,Civil Construction
KCP Sugar &Inds.,533192,KCPSUGIND,INE790B01024,FMCG (Consumer Staples),Agricultural Food & other Products,Sugar
KDDL Ltd,532054,KDDL,INE291D01011,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
KEC International,532714,KEC,INE389H01022,Construction & Infrastructure,Construction,Civil Construction
Keerthi Indus,518011,,INE145L01012,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
KEI Industries,517569,KEI,INE878B01027,Industrials,Industrial Products,Cables - Electricals
Kellton Tech,519602,KELLTONTEC,INE164B01030,Information Technology,IT - Services,IT Enabled Services
Keltech Energies,506528,,INE881E01017,Chemicals,Chemicals & Petrochemicals,Explosives
Kemistar Corp.,531163,,INE971L01029,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Kemp & Co.,506530,,INE060E01018,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Ken Enter.,,KEN,INE15DO01012,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
KEN Fin.Serv.,530547,,INE395E01018,Financial Services,Finance,Non Banking Financial Company (NBFC)
Kennametal India,505890,KENNAMET,INE717A01029,Industrials,Industrial Manufacturing,Industrial Products
Kenrik Indust.,544398,,INE0AOG01018,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Kenvi Jewels,540953,,INE923Y01023,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Kerala Ayurveda,530163,,INE817B01025,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kernex Microsys.,532686,KERNEX,INE202H01019,Industrials,Transport Services,Transport Related Services
Kesar Enterprise,507180,,INE133B01027,FMCG (Consumer Staples),Agricultural Food & other Products,Sugar
Kesar India,543542,,INE0L1C01019,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Kesar Petroprod.,524174,,INE133C01033,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Kesar Terminals,533289,,INE096L01025,Industrials,Transport Services,Logistics Solution Provider
Kesoram Inds.,502937,KESORAMIND,INE087A01019,Construction & Infrastructure,Cement & Cement Products,Cement & Cement Products
Kewal Kir.Cloth.,532732,KKCL,INE401H01017,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Key Corp,507948,,INE130F01016,Financial Services,Finance,Non Banking Financial Company (NBFC)
Keynote Finan.,512597,KEYFINSERV,INE681C01015,Financial Services,Capital Markets,Stockbroking & Allied
Keystone Realtor,543669,RUSTOMJEE,INE263M01029,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
KFin Technolog.,543720,KFINTECH,INE138Y01010,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
KG Petrochem,531609,,INE902G01016,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Khadim India,540775,KHADIM,INE834I01025,Consumer Durables & Retail,Consumer Durables,Footwear
Khaitan (India),590068,KHAITANLTD,INE731C01018,Consumer Durables & Retail,Consumer Durables,Consumer Electronics
Khaitan Chemical,507794,KHAICHEM,INE745B01028,Chemicals,Fertilizers & Agrochemicals,Fertilizers
Khandelwal Extra,519064,,INE687W01010,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Khandwala Sec.,531892,KHANDSE,INE060B01014,Financial Services,Capital Markets,Stockbroking & Allied
Khazanchi Jewell,543953,,INE0OWC01011,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
KHFM Hospitality,,KHFM,INE00UG01014,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Khoobsurat Ltd,535730,,INE731G01027,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Khyati Global,544270,,INE0S9501014,Industrials,Commercial Services & Supplies,Trading & Distributors
Khyati Multimed.,531692,,INE593B01030,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Kiaasa Retail,,,INE1C3F01018,,,
KIC Metaliks,513693,,INE434C01027,Metals & Mining,Ferrous Metals,Iron & Steel
Kiduja India,507946,,INE845A01028,Financial Services,Finance,Non Banking Financial Company (NBFC)
KIFS Financial,535566,,INE902D01013,Financial Services,Finance,Non Banking Financial Company (NBFC)
Kilburn Engg.,522101,,INE338F01015,Industrials,Industrial Manufacturing,Industrial Products
Kilitch Drugs,524500,KILITCH,INE729D01010,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kimia Bioscien.,530313,,INE285U01025,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kinetic Engg.,500240,,INE266B01017,Automobile,Auto Components,Auto Components & Equipments
Kinetic Trust,531274,,INE674M01019,Financial Services,Finance,Non Banking Financial Company (NBFC)
Kingfa Science,524019,KINGFA,INE473D01015,Industrials,Industrial Products,Plastic Products - Industrial
Kings Infra,530215,,INE050N01010,FMCG / Consumer Staples,Food Products,Seafood
KIOCL,540680,KIOCL,INE880L01014,Metals & Mining,Ferrous Metals,Sponge Iron
Kiran Print Pack,531413,,INE516D01011,Industrials,Printing & Publication,Printing & Publication
Kiran Syntex,530443,,INE293D01017,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Kiran Vyapar,537750,,INE555P01013,Financial Services,Finance,Non Banking Financial Company (NBFC)
Kiri Industries,532967,KIRIINDUS,INE415I01015,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
Kirl. Brothers,500241,KIRLOSBROS,INE732A01036,Industrials,Industrial Products,"Compressors, Pumps & Diesel Engines"
Kirl. Electric,533193,KECL,INE134B01017,Industrials,Electrical Equipment,Other Electrical Equipment
Kirl. Ferrous,500245,KIRLFER,INE884B01025,Metals & Mining,Ferrous Metals,Pig Iron
Kirl.Pneumatic,505283,KIRLPNU,INE811A01020,Industrials,Industrial Products,"Compressors, Pumps & Diesel Engines"
Kirloskar Indus.,500243,KIRLOSIND,INE250A01039,Industrials,Industrial Products,Other Industrial Products
Kirloskar Oil,533293,KIRLOSENG,INE146L01010,Industrials,Industrial Products,"Compressors, Pumps & Diesel Engines"
Kisaan Parivar,519230,,INE102C01020,Industrials,Commercial Services & Supplies,Trading & Distributors
Kisan Mouldings,530145,,INE017C01012,Industrials,Industrial Products,Plastic Products - Industrial
Kitex Garments,521248,KITEX,INE602G01020,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Kizi Apparels,544221,,INE0RMR01013,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
KJMC Corporate,532304,,INE602C01011,Financial Services,Finance,Other Financial Services
KJMC Financial,530235,,INE533C01018,Financial Services,Finance,Non Banking Financial Company (NBFC)
KK Shah Hospital,544013,,INE0OH401016,Healthcare / Pharma,Healthcare Services,Hospital
KKalpana Inds.,526409,,INE301C01028,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Kkalpana Plastic,523652,,INE465K01016,Industrials,Industrial Products,Plastic Products - Industrial
KKV Agro Powers,,KKVAPOW,INE239T01016,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
KM Sugar Mills,532673,KMSUGAR,INE157H01023,FMCG (Consumer Staples),Agricultural Food & other Products,Sugar
KMC Speciality,524520,,INE879K01018,Healthcare / Pharma,Healthcare Services,Hospital
KMF Builders,531578,,INE580H01026,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
KN Agri Resource,,KNAGRI,INE0KNW01016,FMCG (Consumer Staples),Agricultural Food & other Products,Edible Oil
Knowledge Marine,543273,KMEW,INE0CJD01029,Industrials,Engineering Services,Dredging
Knowledge Realty,544481,KRT,INE1JAR25012,Construction & Infrastructure,Realty,Real Estate Investment Trusts (REITs)
KNR Construct.,532942,KNRCON,INE634I01029,Construction & Infrastructure,Construction,Civil Construction
Kobo Biotech,531541,,INE881A01015,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Kody Technolab,,KODYTECH,INE0Q7P01013,Information Technology,IT - Software,Computers - Software & Consulting
Kohinoor Foods,512559,KOHINOOR,INE080B01012,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Kokuyo Camlin,523207,KOKUYOCMLN,INE760A01029,FMCG (Consumer Staples),Household Products,Stationary
Kolte Patil Dev.,532924,KOLTEPATIL,INE094I01018,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Konark Synth,514128,,INE517D01019,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Konndor Indust.,532397,,INE971A01014,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Konstelec Engg.,,KONSTELEC,INE0QEI01011,Construction & Infrastructure,Construction,Civil Construction
Kontor Space,,KONTOR,INE0KZ301010,Industrials,Commercial Services & Supplies,Diversified Commercial Services
Kopran,524280,KOPRAN,INE082A01010,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kore Digital,,KDL,INE0O4R01018,Telecom,Telecom - Services,Telecom - Infrastructure
Kotak Mah. Bank,500247,KOTAKBANK,INE237A01036,Financial Services,Banks,Private Sector Bank
Kothari Ferment.,507474,,INE991B01010,FMCG / Consumer Staples,Food Products,Other Food Products
Kothari Indl,509732,,INE972A01020,Chemicals,Fertilizers & Agrochemicals,Fertilizers
Kothari Petroche,,KOTHARIPET,INE720A01015,Chemicals,Chemicals & Petrochemicals,Petrochemicals
Kothari Products,530299,KOTHARIPRO,INE823A01017,Industrials,Commercial Services & Supplies,Trading & Distributors
Kothari Sugars,,KOTARISUG,INE419A01022,FMCG (Consumer Staples),Agricultural Food & other Products,Sugar
Kotia Enterprise,539599,,INE079C01012,Consumer Durables & Retail,Retailing,Distributors
Kotyark Indust.,,KOTYARK,INE0J0B01017,Energy (Oil & Gas),Gas,LPG/CNG/PNG/LNG Supplier
Koura Fine Diamo,544139,,INE0M8R01011,Consumer Durables & Retail,Consumer Durables,"Gems, Jewellery And Watches"
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare / Pharma,Healthcare Services,Hospital
Kovil. Lak. Rol.,507598,,INE014E01015,FMCG / Consumer Staples,Food Products,Other Food Products
KP Green Engg.,544150,,INE0QVH01025,Industrials,Electrical Equipment,Heavy Electrical Equipment
KPI Green Energy,542323,KPIGREEN,INE542W01025,Power & Utilities,Power,Power Generation
KPIT Technologi.,542651,KPITTECH,INE04I401011,Information Technology,IT - Software,Computers - Software & Consulting
KPT Industries,505299,,INE731D01024,Industrials,Industrial Manufacturing,Industrial Products
Kranti Industrie,542459,,INE911T01010,Automobile,Auto Components,Auto Components & Equipments
KRBL,530813,KRBL,INE001B01026,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Krebs Biochem,524518,KREBSBIO,INE268B01013,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kreon Finnancial,530139,,INE302C01018,Financial Services,Finance,Non Banking Financial Company (NBFC)
Kretto Syscon,531328,,INE128R01023,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Kridhan Infra,533482,KRIDHANINF,INE524L01026,Construction & Infrastructure,Construction,Civil Construction
