Name,BSE Code,NSE Code,ISIN Code,Sector,Industry Group,Industry
Adcounty Media.,544435,,INE0W1601012,Media & Entertainment,Media,Web based media and service
Add-Shop E-Reta.,541865,,INE01B501018,Consumer Durables & Retail,Retailing,E-Retail/ E-Commerce
Addi Industries,507852,,INE757C01021,Consumer Durables & Retail,Textiles & Apparels,Garments & Apparels
Addictive Learn,,ADDICTIVE,INE0RDH01021,Consumer Durables & Retail,Other Consumer Services,E-Learning
Adeshwar Meditex,543309,,INE0H8J01015,Healthcare / Pharma,Healthcare Services,"Healthcare Research, Analytics & Technology"
ADF Foods,519183,ADFFOODS,INE982B01027,FMCG / Consumer Staples,Food Products,Packaged Foods
Adhata Global,531286,,INE586D01014,Consumer Durables & Retail,Consumer Durables,Plywood Boards/ Laminates
Adhbhut Infra.,539189,,INE578L01014,Construction & Infrastructure,Realty,"Residential, Commercial Projects"
Adinath Textiles,514113,,INE207C01019,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Financial Services,Capital Markets,Stockbroking & Allied
Aditya AMC,543374,ABSLAMC,INE404A01024,Financial Services,Capital Markets,Asset Management Company
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Consumer Durables & Retail,Retailing,Speciality Retail
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Financial Services,Finance,Investment Company
Aditya Consumer,540146,,INE427V01013,Consumer Durables & Retail,Retailing,Diversified Retail
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrials,Industrial Manufacturing,Industrial Products
Aditya Ispat,513513,,INE570B01012,Industrials,Industrial Products,Iron & Steel Products
Aditya Spinners,521141,,INE122D01026,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Aditya Ultra,,AUSL,INE01YQ01013,Industrials,Industrial Products,Iron & Steel Products
Aditya Vision,540205,AVL,INE679V01027,Consumer Durables & Retail,Retailing,Speciality Retail
Adjia Tech,543269,,INE0G0V01018,Information Technology,IT - Software,Computers - Software & Consulting
Adline Chem Lab,524604,,INE276T01018,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Admach Systems,544669,,INE0XLO01010,Industrials,Industrial Manufacturing,Industrial Products
Ador Welding,517041,ADOR,INE045A01017,Industrials,Industrial Products,Other Industrial Products
Adroit Info.,532172,ADROITINFO,INE737B01033,Information Technology,IT - Services,IT Enabled Services
Adtech Systems,544185,,INE257C01014,Industrials,Industrial Manufacturing,Industrial Products
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrials,Industrial Products,Cables - Electricals
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Advance Lifes.,521048,,INE900E01015,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Advance Meter.,534612,,INE436N01029,Power & Utilities,Power,Power Generation
Advance Petroch.,506947,,INE334N01018,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Advance Syntex,539982,,INE184U01012,Industrials,Industrial Products,Packaging
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Biotechnology
Advani Hotels.,523269,ADVANIHOTR,INE199C01026,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Advent Hotels,544446,ADVENTHTL,INE28GN01010,Consumer Durables & Retail,Leisure Services,Hotels & Resorts
Advik Capital,539773,,INE178T01024,Financial Services,Finance,Non Banking Financial Company (NBFC)
Aegis Logistics,500003,AEGISLOG,INE208C01025,Energy (Oil & Gas),Gas,Trading - Gas
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Energy (Oil & Gas),Oil,Oil Storage & Transportation
Aelea Commoditi.,544213,,INE0T3401029,FMCG (Consumer Staples),Agricultural Food & other Products,Other Agricultural Products
Aeonx Digital,524594,,INE994D01010,Information Technology,IT - Services,IT Enabled Services
Aequs,544634,AEQUS,INE947N01017,Industrials,Aerospace & Defense,Aerospace & Defense
Aeroflex,543972,AEROFLEX,INE024001021,Industrials,Industrial Products,Iron & Steel Products
Aeroflex Enter.,511076,AEROENTER,INE065D01027,Industrials,Industrial Products,Iron & Steel Products
